Date,5Price,5Open,5High,5Low,5Vol.,5Change %
"Jan 14, 2013",124.13,124.06,124.2,124.05,410.25K,0.06%
"Jan 11, 2013",124.06,124.0,124.11,123.89,563.61K,0.03%
"Jan 10, 2013",124.02,124.12,124.13,123.98,571.42K,-0.11%
"Jan 09, 2013",124.16,124.02,124.19,123.97,566.51K,0.10%
"Jan 08, 2013",124.03,123.92,124.06,123.88,427.77K,0.10%
"Jan 07, 2013",123.91,123.91,124.0,123.87,360.77K,0.02%
"Jan 04, 2013",123.89,123.88,123.94,123.7,721.40K,-0.05%
"Jan 03, 2013",123.95,124.16,124.23,123.88,674.72K,-0.19%
"Jan 02, 2013",124.19,124.06,124.23,124.02,474.14K,-0.30%
"Dec 31, 2012",124.56,124.52,124.58,124.46,0.64K,0.01%
"Dec 28, 2012",124.55,124.51,124.59,124.45,8.27K,0.02%
"Dec 27, 2012",124.53,124.32,124.54,124.27,7.72K,0.16%
"Dec 26, 2012",124.33,124.27,124.38,124.26,4.32K,0.03%
"Dec 24, 2012",124.29,124.33,124.39,124.28,13.97K,-0.07%
"Dec 21, 2012",124.38,124.37,124.47,124.23,7.86K,0.07%
"Dec 20, 2012",124.29,124.33,124.38,124.25,10.66K,0.00%
"Dec 19, 2012",124.29,124.23,124.35,124.16,8.55K,0.07%
"Dec 18, 2012",124.2,124.36,124.37,124.15,5.23K,-0.14%
"Dec 17, 2012",124.38,124.45,124.54,124.33,12.21K,-0.14%
"Dec 14, 2012",124.55,124.53,124.59,124.45,3.39K,0.02%
"Dec 13, 2012",124.53,124.73,124.78,124.5,12.56K,-0.15%
"Dec 12, 2012",124.72,124.77,124.77,124.65,18.55K,-0.03%
"Dec 11, 2012",124.76,124.84,124.84,124.7,18.92K,-0.06%
"Dec 10, 2012",124.83,124.84,124.91,124.8,3.79K,0.02%
"Dec 07, 2012",124.8,124.89,124.98,124.74,44.70K,-0.06%
"Dec 06, 2012",124.88,124.88,124.94,124.84,49.45K,0.00%
"Dec 05, 2012",124.88,124.8,124.91,124.77,45.84K,0.07%
"Dec 04, 2012",124.79,124.78,124.85,124.73,39.71K,0.02%
